"wind_speed" "current"
"1" 11.187073 1.582
"2" 13.424487 1.822
"3" 7.607209 1.057
"4" 6.041019 0.5
"5" 22.374145 2.236
"6" 21.702921 2.386
"7" 21.367309 2.294
"8" 6.824114 0.558
"9" 18.234929 2.166
"10" 13.87197 1.866
"11" 6.488502 0.653
"12" 14.207582 1.93
"13" 10.292107 1.562
"14" 12.977004 1.737
"15" 16.556868 2.088
"16" 8.054692 1.137
"17" 17.563704 2.179
"18" 19.689248 2.112
"19" 15.661902 1.8
"20" 12.193909 1.501
"21" 20.360472 2.303
"22" 22.821628 2.31
"23" 9.1734 1.194
"24" 8.837787 1.144
"25" 5.481666 0.123
